YEARMO,Year,Month,DAHR, DAY01,DAHR, DAY02,DAHR, DAY03,DAHR, DAY04,DAHR, DAY05,DAHR, DAY06,DAHR, DAY07,DAHR, DAY08,DAHR, DAY09,DAHR, DAY10,DAHR, DAY11,DAHR, DAY12,DAHR, DAY13,DAHR, DAY14,DAHR, DAY15,DAHR, DAY16,DAHR, DAY17,DAHR, DAY18,DAHR, DAY19,DAHR, DAY20,DAHR, DAY21,DAHR, DAY22,DAHR, DAY23,DAHR, DAY24,DAHR, DAY25,DAHR, DAY26,DAHR, DAY27,DAHR, DAY28,DAHR, DAY29,DAHR, DAY30,DAHR, DAY31
195411,1954,11,199,-99999,218,99999,318,35,418,4,518,99999,618,32,718,11,818,29,918,7,1018,15,1118,8,1218,12,1318,19,1418,17,1518,16,1618,8,1718,25,1818,23,1918,28,2018,20,2118,21,2218,17,2318,18,2418,20,2518,25,2618,9,2718,23,2818,29,2918,99999,3018,34,3199,-99999
195412,1954,12,118,18,218,99999,318,26,418,6,518,34,618,99999,718,31,818,11,918,99999,1018,30,1118,25,1218,99999,1399,-99999,1499,-99999,1599,-99999,1618,31,1718,99999,1818,31,1918,99999,2099,-99999,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2518,80,2618,12,2718,38,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195501,1955,1,199,-99999,299,-99999,399,-99999,418,4,518,5,618,10,718,99999,818,13,999,-99999,1099,-99999,1199,-99999,1299,-99999,1318,99999,1418,9,1518,4,1618,6,1718,2,1818,99999,1999,-99999,2099,-99999,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2618,45,2718,99999,2899,-99999,2999,-99999,3099,-99999,3118,51
195502,1955,2,118,14,218,11,318,3,418,3,518,2,618,10,718,99999,899,-99999,918,18,1018,99999,1199,-99999,1299,-99999,1399,-99999,1499,-99999,1518,87,1618,18,1718,99999,1818,44,1918,99999,2099,-99999,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2618,69,2718,99999,2818,37,2999,-99999,3099,-99999,3199,-99999
195503,1955,3,118,29,218,7,318,30,418,30,518,17,618,99999,799,-99999,818,46,918,43,1018,31,1118,58,1218,59,1318,34,1418,27,1518,40,1618,33,1718,14,1818,4,1918,1,2099,-99999,2118,99999,2299,-99999,2318,44,2418,9,2518,99999,2699,-99999,2799,-99999,2899,-99999,2918,67,3018,36,3118,37
195504,1955,4,118,35,218,17,318,24,418,47,518,45,618,10,718,15,818,19,918,25,1018,16,1118,5,1218,37,1318,40,1499,-99999,1518,31,1618,65,1718,32,1818,44,1918,42,2018,41,2118,32,2218,39,2318,50,2418,60,2518,50,2618,51,2718,40,2818,38,2918,42,3018,27,3199,-99999
195505,1955,5,118,58,218,61,318,64,418,45,518,39,618,44,718,44,818,55,918,29,1018,31,1118,9,1218,21,1318,13,1418,31,1518,29,1618,35,1718,15,1818,32,1999,-99999,2018,33,2118,5,2218,16,2318,32,2418,32,2518,28,2618,32,2718,32,2818,50,2918,43,3018,42,3118,47
195506,1955,6,118,48,218,40,318,43,418,39,518,47,618,17,718,34,818,35,918,18,1018,10,1118,24,1218,31,1318,33,1418,34,1518,24,1618,23,1718,42,1818,51,1918,38,2018,6,2118,29,2218,36,2318,40,2418,40,2518,59,2618,56,2718,45,2818,38,2918,35,3018,49,3199,-99999
195507,1955,7,118,62,218,59,318,51,418,51,518,42,618,54,718,51,818,50,999,-99999,1018,65,1118,41,1218,40,1318,47,1418,37,1518,33,1618,34,1718,33,1818,22,1918,22,2018,30,2118,34,2218,36,2318,37,2418,28,2518,26,2618,56,2718,47,2818,41,2918,40,3018,44,3118,38
195508,1955,8,118,34,218,51,318,47,418,31,518,17,618,20,718,38,818,36,918,36,1099,-99999,1118,19,1218,34,1318,27,1418,34,1518,26,1618,29,1718,27,1818,31,1918,35,2018,27,2118,30,2218,33,2318,19,2418,23,2518,33,2618,32,2718,36,2818,29,2918,20,3018,40,3118,34
195509,1955,9,118,27,218,25,318,37,418,29,518,19,618,23,718,28,899,-99999,918,30,1018,30,1118,18,1218,23,1318,24,1418,35,1518,32,1618,35,1718,38,1818,32,1918,6,2018,23,2118,43,2218,34,2318,7,2418,20,2518,1,2699,-99999,2718,1,2818,15,2918,20,3018,22,3199,-99999
195510,1955,10,118,20,218,3,318,6,499,-99999,518,10,618,24,718,28,818,13,918,24,1099,-99999,1118,14,1218,18,1318,16,1418,25,1518,18,1618,13,1718,26,1818,24,1918,9,2018,19,2118,29,2218,12,2318,30,2418,25,2518,14,2618,22,2718,31,2818,27,2918,37,3018,28,3118,18
195511,1955,11,118,24,218,18,318,99999,418,33,518,20,618,20,718,99999,899,-99999,999,-99999,1099,-99999,1118,87,1218,25,1318,18,1418,20,1518,16,1618,99999,1799,-99999,1818,51,1918,99999,2018,22,2118,19,2218,18,2318,99999,2499,-99999,2518,44,2699,-99999,2799,-99999,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195603,1956,3,118,42,218,99999,318,42,418,15,518,47,618,60,718,99999,899,-99999,918,82,1018,48,1199,-99999,1299,-99999,1399,-99999,1499,-99999,1599,-99999,1699,-99999,1799,-99999,1899,-99999,1999,-99999,2099,-99999,2118,26,2218,4,2318,7,2418,24,2518,24,2618,62,2718,67,2818,60,2918,37,3018,25,3118,38
195604,1956,4,118,36,218,68,318,29,418,26,518,19,618,12,718,38,818,28,918,40,1018,17,1118,15,1218,20,1318,35,1418,44,1518,67,1618,41,1718,39,1818,23,1918,32,2018,22,2118,29,2218,41,2318,36,2418,43,2518,15,2618,33,2718,58,2818,51,2918,30,3018,21,3199,-99999
